category,subcategory,subsubcategory,count
TV Shows,Crime TV Shows,,399
TV Shows,Crime TV Shows, International TV Shows,231
TV Shows,Crime TV Shows, Docuseries,84
TV Shows,Crime TV Shows, TV Dramas,41
TV Shows,Crime TV Shows, Kids' TV,3
TV Shows,Crime TV Shows, TV Action & Adventure,21
TV Shows,Crime TV Shows, Spanish-Language TV Shows,4
TV Shows,Crime TV Shows, Romantic TV Shows,3
TV Shows,Crime TV Shows, TV Comedies,11
TV Shows,Crime TV Shows, TV Horror,1
TV Shows,International TV Shows,,773
TV Shows,International TV Shows, Spanish-Language TV Shows,50
TV Shows,International TV Shows, TV Dramas,195
TV Shows,International TV Shows, Romantic TV Shows,218
TV Shows,International TV Shows, TV Action & Adventure,34
TV Shows,International TV Shows, TV Comedies,78
TV Shows,International TV Shows, Reality TV,60
TV Shows,International TV Shows, Korean TV Shows,108
TV Shows,International TV Shows, Stand-Up Comedy & Talk Shows,12
TV Shows,International TV Shows,,0
TV Shows,International TV Shows, TV Horror,13
TV Shows,International TV Shows, Kids' TV,1
TV Shows,International TV Shows, TV Mysteries,2
TV Shows,Kids' TV,,385
TV Shows,Kids' TV,,0
TV Shows,Kids' TV, Korean TV Shows,23
TV Shows,Kids' TV, TV Comedies,104
TV Shows,Kids' TV, TV Action & Adventure,20
TV Shows,Kids' TV, TV Sci-Fi & Fantasy,2
TV Shows,Kids' TV, TV Dramas,5
TV Shows,Kids' TV, TV Thrillers,5
TV Shows,Kids' TV, Reality TV,2
TV Shows,Kids' TV, Spanish-Language TV Shows,5
TV Shows,Romantic TV Shows,,32
TV Shows,Romantic TV Shows, TV Comedies,15
TV Shows,Romantic TV Shows, TV Dramas,13
TV Shows,Romantic TV Shows, Teen TV Shows,1
TV Shows,Romantic TV Shows, TV Action & Adventure,1
TV Shows,Romantic TV Shows, Spanish-Language TV Shows,2
TV Shows,TV Action & Adventure,,39
TV Shows,TV Action & Adventure, TV Sci-Fi & Fantasy,9
TV Shows,TV Action & Adventure, TV Dramas,20
TV Shows,TV Action & Adventure, TV Horror,1
TV Shows,TV Action & Adventure, TV Comedies,6
TV Shows,TV Action & Adventure, TV Mysteries,2
TV Shows,TV Action & Adventure,,0
TV Shows,TV Comedies,,119
TV Shows,TV Comedies,,0
TV Shows,TV Comedies, TV Dramas,40
TV Shows,TV Comedies, Teen TV Shows,6
TV Shows,TV Comedies, TV Horror,1
TV Shows,TV Comedies, TV Sci-Fi & Fantasy,3
TV Shows,TV Comedies, TV Mysteries,1
TV Shows,TV Dramas,,67
TV Shows,TV Dramas, TV Horror,9
TV Shows,TV Dramas, Teen TV Shows,6
TV Shows,TV Dramas,,0
TV Shows,TV Dramas, TV Mysteries,7
TV Shows,TV Dramas, TV Sci-Fi & Fantasy,5
TV Shows,TV Dramas, TV Thrillers,5
TV Shows,TV Horror,,11
TV Shows,TV Horror, TV Mysteries,9
TV Shows,TV Horror, Teen TV Shows,2
TV Shows,TV Mysteries,,0
TV Shows,TV Sci-Fi & Fantasy,,1
TV Shows,TV Sci-Fi & Fantasy, TV Thrillers,1
TV Shows,Reality TV,,120
TV Shows,Reality TV,,0
TV Shows,Reality TV, Teen TV Shows,3
TV Shows,Reality TV, Romantic TV Shows,11
TV Shows,Reality TV, Science & Nature TV,3
TV Shows,Reality TV, TV Action & Adventure,1
TV Shows,Reality TV, TV Horror,1
TV Shows,Reality TV, TV Comedies,5
TV Shows,Reality TV, Spanish-Language TV Shows,1
TV Shows,Spanish-Language TV Shows,,2
TV Shows,Spanish-Language TV Shows, TV Dramas,2
TV Shows,Classic & Cult TV,,20
TV Shows,Classic & Cult TV, Crime TV Shows,5
TV Shows,Classic & Cult TV, TV Action & Adventure,6
TV Shows,Classic & Cult TV, TV Dramas,1
TV Shows,Classic & Cult TV, Kids' TV,3
TV Shows,Classic & Cult TV, TV Comedies,3
